RegionName,1996-04,1996-05,1996-06,1996-07,1996-08,1996-09,1996-10,1996-11,1996-12,1997-01,1997-02,1997-03,1997-04,1997-05,1997-06,1997-07,1997-08,1997-09,1997-10,1997-11,1997-12,1998-01,1998-02,1998-03,1998-04,1998-05,1998-06,1998-07,1998-08,1998-09,1998-10,1998-11,1998-12,1999-01,1999-02,1999-03,1999-04,1999-05,1999-06,1999-07,1999-08,1999-09,1999-10,1999-11,1999-12,2000-01,2000-02,2000-03,2000-04,2000-05,2000-06,2000-07,2000-08,2000-09,2000-10,2000-11,2000-12,2001-01,2001-02,2001-03,2001-04,2001-05,2001-06,2001-07,2001-08,2001-09,2001-10,2001-11,2001-12,2002-01,2002-02,2002-03,2002-04,2002-05,2002-06,2002-07,2002-08,2002-09,2002-10,2002-11,2002-12,2003-01,2003-02,2003-03,2003-04,2003-05,2003-06,2003-07,2003-08,2003-09,2003-10,2003-11,2003-12,2004-01,2004-02,2004-03,2004-04,2004-05,2004-06,2004-07,2004-08,2004-09,2004-10,2004-11,2004-12,2005-01,2005-02,2005-03,2005-04,2005-05,2005-06,2005-07,2005-08,2005-09,2005-10,2005-11,2005-12,2006-01,2006-02,2006-03,2006-04,2006-05,2006-06,2006-07,2006-08,2006-09,2006-10,2006-11,2006-12,2007-01,2007-02,2007-03,2007-04,2007-05,2007-06,2007-07,2007-08,2007-09,2007-10,2007-11,2007-12,2008-01,2008-02,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,SizeRank,Growth Rate (since 2012),Population,Population % change,Median Age,% over 65 (2014),% over 65 (2010), Median income 2014 , in civilian labor force , Persons per household ,living in same house as 1 year ago,population per square mile
California,158700,158600,158300,158100,157800,157600,157500,157800,158000,158500,159200,159900,160000,160200,160500,161000,161300,161900,162700,163900,165300,166800,168700,168800,168800,170400,172800,174100,175400,176500,177900,179200,180400,181400,182500,184200,185800,187200,188500,190200,192100,194000,196000,198000,200500,203200,206000,209000,211800,214400,217000,219400,221800,224100,226600,229100,231600,234400,237400,240100,242600,244800,246700,248900,251200,253500,255400,257500,260000,262900,265600,268700,271800,275500,279300,283400,287800,292500,296900,301500,305900,310400,314600,319000,323400,327300,330900,335100,339800,345100,351100,357300,363800,370600,377800,385600,394400,403800,413600,423300,432200,439800,446500,452800,458700,464300,470000,476000,482200,488400,494800,501500,508100,514200,519600,524600,528200,530100,531600,533200,534000,533900,533500,532300,530100,527500,525000,522200,519100,516400,514500,512300,509500,506100,501800,496800,491700,486400,481000,475100,467900,459600,450100,439700,429300,419700,410300,401100,392300,383900,376000,368300,362500,359500,356800,352900,349000,345600,342700,340400,338900,338200,337900,337800,338000,337900,337900,337900,337800,337600,336900,335300,333700,331900,330100,328500,326800,324500,322100,319800,317100,314400,312100,310300,308800,307600,306900,306600,306600,306600,307000,308000,309300,310900,312900,315400,318100,320900,323800,327100,330800,334900,339700,345800,352500,359400,366800,374500,381400,387500,393200,398300,402500,405800,408000,410700,414600,418200,420400,421700,422900,424000,425400,426900,428200,429500,432000,434700,436700,438300,440200,442500,445200,447700,450100,452500,455400,458000,460200,462100,1,51%,"39,144,818",5.10%, 36.00 ,12.90%,11.40%,"$61,489 ",63.40%, 2.95 ,85%,239.1
Texas,,,,,,,,,,,81200,81600,82000,82400,82900,83400,84000,84600,84800,84500,84400,84600,85000,85400,85700,86100,86400,86800,87000,87200,87600,87700,87700,88300,88900,89500,90200,91100,91800,92400,93000,93500,93800,94100,94200,94400,94400,94500,94900,95300,95500,95700,96000,96500,97000,97200,97300,97400,97700,97800,98100,98300,98500,98800,99200,99500,99900,100200,100300,100700,101100,101500,101600,101900,102300,102800,103200,103800,104400,104900,105100,105300,105600,106100,106400,106500,106800,107300,107900,107900,107700,107700,108400,109400,110800,112100,113400,114500,115500,116200,116900,117700,118200,118500,119000,119600,120200,120600,121000,121500,121900,122000,122200,122700,123300,123800,123900,124200,125000,125800,126300,126800,127400,128000,128100,128400,129100,129800,130400,130900,131200,131300,131700,132100,132600,132900,133300,133500,133800,134200,134100,133000,131600,130400,129300,128100,127100,126600,126700,127200,127700,128300,129000,129700,130500,131200,131800,132200,132600,133000,133200,133200,133000,132800,132600,132500,132600,132900,132900,132900,132900,132700,132200,131700,131100,130600,130200,130300,129000,127400,127400,128500,128900,129200,129800,130000,129800,129200,129200,129300,130000,130700,131000,130900,131100,131500,131400,131200,131300,131600,131800,132000,132500,133600,134700,135700,136500,136700,136900,137700,138500,138800,138800,139000,139600,139600,138500,137100,136600,136600,136800,137300,138100,139300,140200,141200,142300,143700,145200,146600,147700,148700,149700,150300,150700,151200,151900,152600,153500,154400,2,19%,"27,469,114",9.20%,,11.50%,10.30%,"$52,576 ",64.40%,2.83,83.00%,96.3
New York,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,332400,331800,331200,330500,328900,326800,325300,324100,322400,320200,317600,315500,313600,311800,309800,309200,300200,286100,278500,278400,276700,275400,274300,272900,271900,271000,270500,270100,269700,269000,268400,267700,266900,266200,265400,264500,263500,262200,261000,260000,259400,258700,257800,256600,255200,253900,252900,251800,250800,249900,249100,248400,247600,246900,246300,245300,244700,244400,244200,244000,244200,244600,244700,244700,244900,245000,244700,244400,244700,245600,246500,247400,248400,249500,250500,251300,252300,254000,255100,256200,257700,258800,259200,259700,259900,259900,260200,261000,262100,263000,264100,264700,264500,263900,263800,263800,263600,263200,262400,261500,261000,260800,260900,261100,3,6%,"19,795,791",2.20%,38.2,14.70%,13.50%,"$58,687 ",63.40%,2.62,88.90%,411.2
Florida,87000,87300,87500,87400,87400,87400,87300,87500,87600,87900,88300,88800,88800,88800,89100,89400,89500,89800,90100,90400,90700,91300,92000,92400,92600,92800,93100,93200,93500,93600,93800,94200,94800,95400,96000,96600,97000,97200,97600,98000,98600,99300,99900,100400,101000,101900,102700,103200,103900,104700,105400,106000,106800,107500,108400,109200,110000,110900,111700,112300,113200,114300,115200,116200,117100,118000,118900,120000,121000,122000,123000,124300,125500,126500,127500,128700,129600,130600,131900,133200,134400,135800,137200,138400,139700,141000,142200,143700,145100,146500,148000,149800,151500,153200,155100,157200,159400,161900,164600,167500,170800,174300,177600,180900,184400,188000,191900,196400,201400,206900,212700,218400,224200,229700,234900,239700,243700,247000,250000,252800,255000,256400,256900,256900,256700,255800,254400,252900,251200,249200,247100,244900,242400,239800,237100,234300,231200,228100,225000,222000,218600,214800,210600,206400,202000,197800,193900,189900,186000,182200,178200,173900,170700,169100,167500,164900,162000,159300,157000,154900,153000,151500,150500,149500,148500,147400,146100,144800,143800,143000,142000,140800,139600,138300,137100,136000,134700,133200,132200,131500,130500,129500,128600,127700,126900,126400,126100,126100,126100,126200,126500,127000,127800,128400,129200,130100,131100,132100,133000,133800,134600,135600,136700,138000,139300,140500,142100,143900,145500,147200,149300,151400,153300,154600,155500,156900,159100,160900,162000,163200,164400,165200,165700,166500,167300,168200,169400,170500,171500,172900,174300,175700,177300,178600,179700,180900,182400,183800,185100,186100,4,47%,"20,271,272",7.80%,41.6,19.10%,17.30%,"$47,212 ",59.20%,2.62,83.70%,350.6
Illinois,113900,114300,114300,113600,112800,112400,112500,112600,113300,114300,114900,114800,114700,114700,114900,115300,115600,115900,116300,116700,117000,117300,117600,117800,117900,118200,118600,118900,119300,119800,120400,120800,121100,121400,122100,122800,123200,123800,124400,125100,125600,126200,127100,128000,128600,129200,130000,130800,131500,132100,132900,133600,134000,134500,135300,136100,137100,138100,138900,139600,140400,141300,142100,143200,144300,145400,146500,147400,148200,148900,149700,150500,151500,152100,152800,153600,154000,154600,155700,156700,157500,158100,159100,160600,161900,163200,164700,165900,166700,167200,167800,168500,169300,170300,171300,172100,173000,173700,174100,175600,177900,179400,179300,179700,180900,182200,183500,184600,185800,187000,188100,189000,189700,190500,192000,193500,194300,195300,196200,196700,197400,198100,198700,198900,200200,201500,201700,201300,201600,201800,202000,202200,202000,202100,202100,201600,200700,200100,199900,199700,199100,198600,197800,196600,195600,194700,193600,192600,191700,190600,189600,188400,186900,185300,183700,182300,181000,179700,178400,177300,175900,174900,174300,173900,173200,172400,171600,170600,169500,168500,167500,166300,164900,163400,161800,160300,159000,157800,156800,155900,154700,153200,151500,150000,148700,147400,146100,145200,144300,143400,142600,142000,141600,141500,141500,141400,141200,140900,140600,140600,140700,141000,141300,141600,141900,142500,143800,145400,146700,147700,148900,150400,151400,152300,153100,153700,154300,154600,154500,154400,154800,155400,155800,155700,155200,154900,154900,155000,155000,155300,155800,156400,156700,156800,157000,157400,157800,158100,158300,158400,5,10%,"12,859,995",0.20%,37.5,13.90%,12.50%,"$57,166 ",65.90%,2.63,86.80%,231.1
Pennsylvania,84200,84500,84700,84500,84600,84900,84800,84500,84600,84800,84900,85100,85200,85000,85000,85200,85200,85300,85400,85700,85900,86200,86500,86900,87300,87400,87500,87700,87900,87800,88200,88700,89100,89400,89800,90200,90400,90300,90400,90600,90700,90800,91000,91300,91500,91700,92200,92600,92900,93200,93600,94100,94300,94500,94800,95200,95500,95700,96100,96500,97300,98100,98400,98700,99300,99900,100300,100800,101400,102100,102700,103200,103600,104100,104700,105500,106100,106900,107500,108300,109100,109900,110800,111600,112300,113100,114000,114800,115700,116800,117900,118800,119800,120800,121600,122200,123000,123700,124700,125700,126700,127500,128600,129500,130300,131300,132500,133700,134800,136100,137300,138500,139800,141000,142000,143100,144300,145100,145600,146200,147100,147900,148500,149300,150100,150600,151100,151700,152000,151900,152100,152600,153200,153700,154000,154200,154500,154700,154700,154500,154200,153900,153600,153400,153200,153000,153000,153000,152900,152800,152500,152200,152600,153700,154600,154900,155100,155000,154600,154200,154100,154000,153900,154200,154200,153900,153400,153200,153100,153000,152700,152000,151500,151100,150600,149900,149200,148700,148100,147600,147100,146800,146300,146000,145500,145200,145000,144900,144500,144000,143900,144000,143800,143600,143700,143700,143500,143300,143200,143200,143100,143000,143200,143500,143500,143800,144400,145100,145600,146000,146700,147400,148500,149600,150300,150400,150400,150200,150300,150400,150500,150600,150600,150500,150200,150000,150000,150200,150400,150600,150700,150900,151300,151700,151700,151900,152100,152300,152100,152000,6,6%,"12,802,503",0.80%,40.7,16.70%,15.40%,"$53,115 ",62.80%,2.49,88.00%,283.9
Ohio,88600,88800,88900,89100,89200,89400,89600,89700,89800,90200,90500,90800,91100,91300,91600,92000,92200,92500,93100,93400,93700,94100,94400,94800,95100,95300,95500,95700,96100,96500,96800,97000,97400,97900,98500,99000,99400,99900,100300,100700,101200,101500,101700,102200,102600,102900,103300,103800,104300,105000,105500,105900,106400,106700,106900,107200,107600,108000,108400,108600,108700,109100,109600,109900,110100,110400,110700,110900,111300,111700,112100,112300,112600,112800,113000,113400,113700,113900,114400,114800,115000,115400,115700,116000,116400,116900,117300,117800,118200,118600,119100,119700,120100,120200,120400,120800,121100,121300,121500,121700,122000,122400,122700,123000,123300,123700,124100,124300,124500,124800,125100,125200,125200,125300,125400,125700,125900,126000,126000,126100,126200,126200,126000,125800,125600,125600,125500,125300,125000,124900,124800,124700,124700,124400,124100,123800,123500,123000,122400,122000,121600,121100,120300,119600,119000,118400,118000,117500,117100,116700,116300,115700,115300,115200,115300,115100,114800,114600,114400,114300,114000,114000,114100,114100,114000,113900,113600,113500,113300,113000,112700,112700,112500,112000,111500,110900,110400,109800,109100,108500,108000,107600,107300,106900,106500,106300,106100,106000,105800,105600,105400,105400,105600,105800,106100,106200,106200,106200,106400,106400,106300,106300,106500,106800,106900,107100,107800,108500,109000,109400,109900,110600,111200,111900,112800,113300,113600,113800,113900,114000,114400,114800,115000,115200,115500,115800,116000,116500,116900,117300,117400,117400,117600,117900,118200,118700,119200,119500,119600,119700,7,13%,"11,613,423",0.70%,39.4,15.50%,14.10%,"$48,849 ",63.50%,2.46,85.40%,282.3
Michigan,89600,88800,88800,89600,89100,88300,88000,88400,88500,88400,88400,88700,89300,90200,90800,91200,91500,91900,92400,93000,94000,94900,95100,94900,95400,96200,96700,97100,97700,98600,99400,99900,100400,101400,102600,103700,104900,105900,106900,107800,108900,109600,110300,110900,111600,112400,113400,114200,114900,115500,116200,116700,117100,117500,118000,118500,119400,120200,121100,121600,122100,122800,123400,124100,124800,125400,125700,126000,126200,126400,126600,126900,127200,127400,127700,128100,128800,129600,130600,131300,131600,131900,132300,132800,133200,133600,133900,134100,134500,134900,135200,135500,135800,136200,136600,136800,136900,137300,137600,138000,138300,138700,139000,139300,139600,139900,140100,140500,141000,141300,141400,141500,141700,141700,141800,141900,142000,141700,141300,141100,140700,140300,140000,139700,139200,138600,138100,138000,137600,136800,136100,135600,134900,134200,133300,132500,131800,131100,130100,129100,127900,126500,124700,123100,121500,120000,118400,117000,115500,114000,112500,110600,109500,109600,109700,109000,108100,107300,106700,105800,104800,104200,103900,103400,102800,102300,102000,101800,101600,101700,101500,101100,100800,100400,99800,99300,98600,97600,96900,96500,95900,95400,94800,94300,94000,93700,93500,93600,93900,94000,93800,94100,94800,95900,97100,97900,98700,99600,100500,101100,101900,103000,104300,105400,106600,107800,109000,110200,111400,112500,113500,114500,115700,116500,117200,117400,116600,115400,115200,115500,115800,116200,116600,117200,117400,117500,117400,117800,118400,119000,119400,119900,120300,120500,120600,120900,121200,121600,121800,121800,8,30%,"9,922,576",0.40%,39.6,15.40%,13.80%,"$49,087 ",61.40%,2.52,85.30%,174.8
Georgia,92900,93300,93500,93600,93600,93800,94200,94600,94800,95000,95300,95600,95800,96100,96600,97300,97900,98300,98800,99300,99700,100300,101000,101700,102100,102500,103100,103900,104500,105200,106000,106500,107000,107900,108500,108900,109500,110200,111000,111900,112400,113000,113700,114300,115000,116000,117100,117900,118500,119000,119700,120300,121100,121800,122600,123100,123600,124000,124700,125400,126100,126800,127400,127700,127800,128200,128600,129000,129600,130100,130500,131000,131400,131900,132200,132500,133100,133500,133600,134100,134500,134500,134800,135300,135700,136200,136400,136700,137100,137500,137700,138200,139000,139500,139800,140200,140500,140700,140900,141400,141800,142400,143100,143500,143900,144700,145400,145800,146400,147000,147600,148200,149000,149600,150300,151100,151600,151900,152500,152900,153300,153800,154500,155000,155400,155700,156100,156300,156200,155700,155500,155300,155500,155800,155900,155800,155700,155400,154900,154600,154200,153600,152800,152000,151100,150000,149000,148100,146900,145600,144300,142600,141600,141700,141900,141400,140700,139800,139100,138500,137800,137200,136700,136400,135800,135100,134400,133600,133000,132500,131800,130900,129800,128600,127600,126900,126000,124700,123700,122800,121700,120400,119300,118200,117300,116600,115900,115500,115200,114700,114200,113900,113800,113700,113600,113400,113600,113800,113900,113900,114100,114800,115300,115600,116100,117000,118200,119500,120800,122100,123500,124800,125800,126600,127400,128400,129700,131000,132100,133000,133800,134700,135500,136000,136200,136400,136900,137800,138300,138600,139000,139600,140300,140900,141500,142400,143300,143900,144500,144900,9,26%,"10,214,860",5.40%,36.1,12.40%,10.70%,"$49,342 ",62.60%,2.72,83.80%,168.4
North Carolina,92400,92700,92900,93200,93600,93900,94100,94400,94700,95100,95700,96100,96500,97200,97800,98200,98700,99400,100000,100400,100900,101500,102200,103000,103500,104000,104700,105500,106000,106400,107000,107700,108300,108600,108900,109400,110000,110400,111100,111600,111900,112300,112500,112600,113000,113600,114100,114500,114900,115300,115700,115800,116000,116500,117200,117500,117800,118300,118900,119000,119000,119200,119300,119300,119500,119700,119900,120100,120200,120400,120700,121000,121300,121400,121600,122000,122400,122500,122500,123000,123600,123800,123800,124000,124500,125000,125100,125200,125400,125800,126000,126400,126700,127100,127500,127900,128200,128400,128900,129500,130000,130500,131100,131600,132000,132500,133200,133700,134200,134700,135300,136100,136900,137400,138100,139000,139900,140500,140900,141300,142000,142700,143300,143800,144300,144900,145400,146000,146500,147000,147400,147800,148400,148800,149100,149400,150000,150400,150600,150400,150300,150100,150000,149900,150000,150000,150000,150000,149700,149500,149000,148500,148300,148700,148900,148800,148600,148400,148200,147800,147400,147000,146800,146600,146300,145900,145600,145500,145100,144600,144200,143700,143100,142500,142100,141600,141000,140300,139800,139300,138800,138400,138100,137900,137500,137200,137100,137000,136900,137000,137200,137200,137100,137100,137100,137200,137500,137700,137800,138000,138000,138200,138400,138500,138500,138700,139100,139600,140000,140400,141000,141800,142300,142800,143100,143200,143600,143900,144000,144000,144100,144000,144200,144300,144400,144200,144300,144900,145500,145900,146200,146600,147100,147700,147900,148200,148500,148900,149200,149500,10,9%,"10,042,802",5.30%,38.3,14.70%,12.90%,"$46,693 ",62.10%,2.54,84.70%,196.1
